Open,High,Low,Close,Volume,Label
4060.0,4080.0,3940.0,3940.0,10200000.0,1.0
3920.0,4020.0,3850.0,3970.0,16815000.0,1.0
4110.0,4280.0,4070.0,4280.0,47790000.0,1.0
4620.0,4920.0,4580.0,4700.0,131305000.0,-1.0
4720.0,4780.0,4490.0,4490.0,44905000.0,1.0
4490.0,4610.0,4470.0,4540.0,31785000.0,-1.0
4410.0,4420.0,4330.0,4400.0,31185000.0,1.0
4340.0,4520.0,4320.0,4520.0,26345000.0,-1.0
4340.0,4520.0,4320.0,4520.0,26345000.0,-1.0
4410.0,4450.0,4310.0,4340.0,21695000.0,1.0
4460.0,4620.0,4410.0,4580.0,38225000.0,-1.0
4580.0,4580.0,4580.0,4580.0,0.0,-1.0
4700.0,4700.0,4540.0,4580.0,36510000.0,1.0
4620.0,4620.0,4490.0,4600.0,25895000.0,-1.0
4410.0,4510.0,4410.0,4460.0,32805000.0,1.0
4500.0,4630.0,4480.0,4600.0,17945000.0,-1.0
4590.0,4620.0,4520.0,4590.0,16825000.0,-1.0
4560.0,4580.0,4490.0,4500.0,20695000.0,-1.0
4500.0,4560.0,4440.0,4500.0,24620000.0,-1.0
4460.0,4470.0,4400.0,4410.0,27705000.0,1.0
4420.0,4460.0,4400.0,4430.0,14310000.0,-1.0
4410.0,4450.0,4290.0,4340.0,26420000.0,-1.0
4300.0,4370.0,4200.0,4210.0,25895000.0,1.0
4400.0,4430.0,4340.0,4430.0,24105000.0,-1.0
4380.0,4420.0,4340.0,4410.0,18915000.0,1.0
4500.0,4620.0,4430.0,4580.0,28160000.0,1.0
4720.0,4780.0,4620.0,4620.0,48830000.0,1.0
4600.0,4760.0,4580.0,4700.0,21890000.0,-1.0
4560.0,4600.0,4510.0,4530.0,30275000.0,-1.0
4550.0,4650.0,4430.0,4440.0,33695000.0,1.0
4420.0,4480.0,4380.0,4450.0,18480000.0,1.0
4430.0,4640.0,4430.0,4640.0,24280000.0,-1.0
4500.0,4530.0,4450.0,4470.0,31815000.0,-1.0
4320.0,4340.0,4190.0,4240.0,63595000.0,-1.0
4300.0,4300.0,4210.0,4240.0,29315000.0,-1.0
4260.0,4310.0,4230.0,4240.0,19955000.0,-1.0
4140.0,4240.0,4040.0,4060.0,51520000.0,-1.0
4060.0,4060.0,4060.0,4060.0,0.0,1.0
4080.0,4310.0,4080.0,4280.0,39865000.0,1.0
4420.0,4510.0,4400.0,4470.0,42740000.0,-1.0
4330.0,4380.0,4280.0,4280.0,24680000.0,-1.0
4220.0,4300.0,4210.0,4220.0,24195000.0,1.0
4300.0,4310.0,4200.0,4280.0,23645000.0,-1.0
4270.0,4310.0,4200.0,4230.0,27840000.0,-1.0
4190.0,4200.0,4120.0,4190.0,40870000.0,-1.0
4180.0,4180.0,4080.0,4100.0,34095000.0,1.0
4100.0,4170.0,4080.0,4110.0,31275000.0,-1.0
